,lat,lon,alt
CEF4,51.2639,-113.9333,3653
CAM4,52.3458,-114.6667,3212
CNZ2,56.4242,-110.9514,1612
CYWM,54.7431,-113.2003,1971
CBP2,51.1917,-115.5508,4570
CBM7,51.1797,-115.5675,4540
CYBA,51.2,-115.5333,4583
CHC3,54.1183,-114.4,2121
CEP3,54.0969,-114.4339,2121
CFK2,52.5575,-112.9514,2610
CBL4,50.7906,-112.4508,2606
CEN2,50.8,-112.4667,2613
CFR2,52.8933,-112.5344,2325
CLN4,55.2344,-119.8342,2694
CEU2,55.1844,-119.4347,2289
CFV2,51.3933,-113.4669,3036
CBH7,52.2258,-114.2506,3020
CFM2,57.695,-111.8339,2600
CPB8,59.6383,-118.3181,1951
CFL3,50.6789,-114.2333,3906
CEH2,50.7225,-114.1678,3700
CBD8,50.645,-114.2003,4060
CFT2,50.5525,-113.5844,3350
CBS9,49.6161,-114.4506,4292
CEK4,49.6081,-114.45,4224
CBN2,54.2639,-110.7339,1825
CYBF,54.3047,-110.7339,1839
CBR9,51.4128,-114.5678,4252
CEF3,49.8833,-111.3333,2634
CHJ4,54.5886,-112.8,2137
CFM7,54.5742,-112.8169,2154
CEX9,50.4194,-113.5339,3342
CFV8,50.5686,-111.8836,2498
CYBP,50.6342,-111.9175,2491
CJF4,50.8608,-110.6503,2000
CAR3,50.8681,-114.1336,3820
CAC6,51.0761,-114.1347,3670
CEP2,51.1031,-114.2014,3540
CEL2,51.0528,-114.0678,3445
CEL9,50.955,-113.9672,3418
CMT3,51.0653,-114.1333,3761
CLC3,51.0794,-113.9681,3684
CEM2,50.9883,-114.0847,3590
CBC6,50.9969,-113.8842,3440
CRS3,50.7994,-114.05,3820
CEE2,51.1153,-114.2844,3596
CKC4,51.1656,-114.3014,4204
COK2,50.7447,-113.9842,3622
CRF4,50.7647,-113.9506,3800
CFX2,50.7339,-113.9333,3601
CSH3,50.8828,-113.95,3486
CYBW,51.1053,-114.3669,3940
CFK4,55.3167,-113.25,3606
CWL3,53.1158,-113.7669,2092
CFF9,53.0314,-112.7678,2600
CMR6,53.0153,-112.8178,2449
CEQ3,53.0397,-112.8014,2428
CCH3,51.0925,-115.3347,2426
CNK7,51.1033,-115.0011,4305
CEW9,51.0786,-115.3339,4260
CEA6,49.1625,-113.2339,4296
CGB2,51.5828,-114.05,3887
CGC4,49.0044,-113.5003,3400
CCR7,52.2233,-111.9006,4683
CER2,52.2167,-111.9333,2675
CAJ7,50.4536,-113.7347,2704
CFQ4,51.0575,-113.6172,3450
CFX8,51.0417,-113.75,3300
CEG5,56.9525,-113.4844,3339
CMY2,53.6364,-112.6,1800
CFU3,53.7167,-112.6333,2214
CFF2,55.59,-111.8172,2195
CCL3,55.6283,-110.7347,2365
CFV7,50.0183,-113.5681,1905
CEJ4,50.0047,-113.6178,3394
CFS8,51.9881,-115.2178,3325
CCR5,52.1789,-116.4678,4100
CRD2,49.8217,-112.5181,4386
CKY8,51.2047,-114.7672,2820
CYOD,54.405,-110.2678,4000
CTB8,54.2733,-110.1511,1775
CCH9,54.4683,-110.1844,1841
CEN5,54.4775,-110.2667,1708
CET2,55.6961,-111.2678,1787
CCS2,52.0092,-110.7681,1913
CFG3,52.0167,-110.75,2445
CRH2,52.0961,-111.4508,2499
CYCT,52.075,-111.4344,2618
CEP4,48.9983,-111.9678,2595
CYYM,49.6364,-114.0844,3552
CDL3,52.8689,-112.2672,3876
CED6,50.8031,-113.8842,2307
CEH4,50.8219,-113.8172,3435
CFG4,55.2333,-118.0333,3355
CEQ4,48.9986,-112.7675,2120
CDB3,52.2364,-113.4008,4336
CDM2,51.6533,-114.3503,2769
CDD7,51.6617,-114.1172,3501
CFX3,56.95,-119.5167,3374
CFM4,55.7094,-117.0842,3500
CFV9,53.2122,-114.9669,1950
CER3,53.2658,-114.9508,2881
CDH2,51.4692,-112.7178,2776
CDO2,51.2953,-112.6008,2247
CEG4,51.4964,-112.7347,2900
CBI2,55.6972,-117.9339,2599
CCP7,55.72,-118.0339,1932
CDT8,55.8092,-117.8842,2000
CGL4,55.6711,-117.9333,1850
CCE7,53.5358,-113.6511,1920
CFH7,53.5578,-113.4844,2254
CBY2,53.5078,-113.2336,2253
CMF2,53.1844,-113.7339,2392
CEZ3,53.4275,-113.1014,2520
CEP8,53.505,-113.3181,2437
CFQ7,53.2817,-113.4503,2367
CES8,53.4622,-113.4178,2390
CFB6,53.7281,-113.0836,2274
CSG6,53.3661,-113.8336,2069
CGF2,53.5764,-112.9681,2325
CMC2,53.5203,-113.6011,2400
CCF6,53.8197,-113.7508,2215
CMN6,53.8369,-113.5511,2374
CYED,53.6692,-113.4675,2302
CPL6,53.4744,-113.8178,2257
CES3,53.6867,-113.6836,2324
CSA3,53.6544,-113.6175,2265
CEE6,53.4711,-113.1503,2251
CEW7,53.5203,-113.5169,2435
CRF3,53.6456,-113.8003,2367
CZVL,53.6683,-113.85,2190
CYEG,53.31,-113.5678,2256
CEV2,57.85,-113.25,2373
CYET,53.5789,-116.4514,2625
CEP7,53.8983,-110.9006,3043
CEJ6,53.8931,-110.7672,1980
CFL2,50.6825,-110.0342,1981
CYEA,50.9336,-110.0011,2395
