,lat,lon,alt
CZBF,47.6294,-65.7403,196
CCJ3,47.4483,-67.6247,1034
CDT5,46.5094,-64.6939,57
CDA6,46.4594,-67.5647,574
CCX3,45.5667,-67.1,300
CYCL,47.9908,-66.3303,132
CCS4,46.1486,-65.9042,65
CDJ4,46.7133,-66.8283,1330
CRM4,46.1808,-64.3756,84
CDU6,46.5525,-66.0939,326
CDV2,47.7531,-67.4267,884
CYES,47.49,-68.4817,498
CCR3,46.4261,-67.6281,508
CRC2,45.9317,-66.6667,369
CYFC,45.8689,-66.5372,67
CYCX,45.8378,-66.4367,166
CCK3,47.075,-67.685,712
CCN2,44.7133,-66.7969,244
CCS5,45.9864,-65.3019,425
CCE3,46.5633,-67.1683,839
CYCH,47.0058,-65.4569,110
CYQM,46.1161,-64.6786,232
CCG4,46.1539,-64.7686,214
CDB5,46.0494,-65.0625,230
CDA4,47.7161,-64.8817,69
CSN6,45.3022,-66.0881,246
CYSJ,45.3158,-65.89,357
CCF9,45.9603,-67.0953,600
CCM3,47.1833,-66.15,1350
CSB5,46.2547,-64.5767,25
CYSL,47.1572,-67.8364,794
CCS3,45.2069,-67.2497,99
CCY3,45.6864,-65.5419,467
CCH2,46.5875,-67.7192,246
CCG3,46.0375,-66.8589,140
CSN4,46.2028,-67.6594,481
CCD3,46.15,-67.55,481
CCV4,47.635,-52.9803,31
CCE4,53.47,-55.7875,52
CYCA,53.6825,-57.0419,42
CCH4,52.7658,-56.1125,210
CZUM,53.5625,-64.1058,1442
CCZ3,48.2747,-53.9239,31
CYDF,49.2092,-57.3944,31
CCP2,49.0561,-55.4478,31
CDY3,49.6575,-54.2375,31
CGH2,48.9553,-54.6272,432
CYQX,48.9369,-54.5681,31
CYYR,53.3192,-60.4258,160
CFW8,48.9247,-55.6472,157
CHG2,47.6856,-53.2539,325
CYHO,55.4489,-60.2281,46
CLH7,47.9044,-54.9203,300
CCX2,47.5161,-52.9808,31
CYFT,55.0772,-59.1878,231
CYMH,52.3028,-55.8478,35
CYDP,56.5506,-61.6822,21
CNH2,55.9139,-61.1844,33
CCM4,50.6889,-57.3314,31
CCP4,52.5281,-56.2853,339
CCD4,54.9103,-59.7853,223
CCZ2,54.1794,-58.4572,186
CCD2,49.4789,-56.1781,31
CDA5,47.7756,-59.3125,31
CYAY,51.3919,-56.0831,31
CCK2,47.5725,-52.7456,31
CDC2,47.6083,-52.7269,31
CYYT,47.6186,-52.7525,31
CCK4,52.3728,-55.6739,74
CYJT,48.5444,-58.55,31
CVB2,56.3447,-62.0881,246
CYWK,52.9228,-66.8647,1809
CCC2,47.1369,-55.3292,31
CCB3,45.8119,-64.2203,99
CDY5,45.6267,-61.9819,70
CDT3,45.5114,-61.0336,70
CDW2,46.1642,-60.7842,291
CDT6,44.3822,-64.5106,100
CDY6,44.3819,-64.4575,150
CCE5,45.3328,-60.9814,19
CDL8,45.4094,-62.6189,591
CCQ3,45.4192,-63.4614,136
CDG2,44.6158,-65.7619,142
CYID,44.5458,-65.7858,499
CCY4,45.1167,-63.7,615
CDH3,43.9622,-65.9942,145
CFH4,45.87,-63.4611,62
CYZX,44.9844,-64.9169,92
CIW2,44.6369,-63.5844,223
CHQE,44.6458,-63.5867,260
CHS7,44.6256,-63.5633,13
CYAW,44.6372,-63.5022,144
CYHZ,44.8797,-63.5103,477
CHL2,45.1428,-64.4228,98
CNV2,46.1994,-61.2914,100
CKM9,45.0942,-64.5089,100
CKV8,45.0817,-64.5,80
CLQ2,44.0386,-64.7053,66
CYAU,44.2306,-64.8561,325
CLE4,43.6222,-65.7622,107
CCZ4,46.3411,-60.9797,181
CKZ5,44.1725,-66.1625,134
CMS2,44.9461,-65.0589,70
CNG2,45.5722,-62.6442,77
CYPD,45.6564,-61.3683,373
CCF4,44.71,-63.3017,20
CST5,43.9331,-60.0056,15
CSB2,43.9294,-59.9597,UTC-4(3)   Elev 4
CCZ9,43.7508,-65.3094,75
CCW4,45.1006,-63.9206,95
CSY9,46.11,-60.1761,224
CYQY,46.1614,-60.0481,203
CCZ5,45.5606,-62.5947,120
CYTN,45.6119,-62.6211,319
CEH9,45.3497,-63.3056,142
CDU3,43.8483,-66.1214,43
CYQI,43.8272,-66.0883,140
CCA3,46.4433,-62.5914,94
CDV3,46.2556,-63.0989,20
CYYG,46.2892,-63.1153,167
CCH6,46.4178,-63.7739,39
CYSU,46.4406,-63.8336,56
