,lat,lon,alt
CPE2,43.8361,-79.0172,300
CNS4,45.3333,-74.6167,260
CAP2,44.1797,-80.9514,926
CPJ2,44.1483,-79.8008,760
CPZ2,44.1553,-79.8742,750
CNY4,44.1833,-79.8333,720
CAL5,45.2303,-76.1872,712
CKB6,53.8492,-89.5794,1059
CYYW,50.2939,-88.91,355
CNP3,45.4139,-76.3658,1530
CAR5,43.7831,-80.4336,1580
CDF6,43.8967,-80.52,1555
CPK9,43.7708,-80.485,1550
CPC3,43.85,-80.45,1285
CKF3,48.7547,-91.5967,1409
CYIB,48.7742,-91.6389,30
CYAT,52.9275,-82.4319,1215
CAT1,43.6833,-81.0044,970
CAY5,43.3058,-80.4992,825
CME3,45.0642,-79.6797,814
CBL8,45.0306,-79.6181,750
CBW8,44.2775,-79.3617,750
CPB9,44.2672,-79.3406,1085
CPB7,45.0714,-77.8789,1085
CNW3,45.0731,-77.8806,594
CPF2,46.4189,-84.0942,855
CRV2,44.4144,-79.6653,972
CYLS,44.4861,-79.5556,1000
CPV6,45.4822,-77.6942,1000
CNZ4,45.5,-77.65,300
CBE3,43.1867,-79.4742,1015
CPY3,49.6081,-87.955,800
CNE3,53.9656,-91.0272,800
CBN7,44.4594,-79.1261,820
CBV2,44.4475,-79.1003,787
CBF3,44.0792,-79.8106,320
CNU4,44.1922,-77.3094,277
CBV5,44.1672,-77.3503,1410
CBF2,43.8083,-80.3119,1540
CEF2,43.8375,-80.3692,730
CYTL,53.8178,-89.8969,1000
CBM2,44.0947,-78.7364,892
CLH5,44.5256,-78.4481,700
CNB2,43.8522,-79.6947,729
CYBN,44.2717,-79.9125,309
CPL7,43.9094,-78.6764,850
CPL2,45.05,-79.3167,1050
CSW4,44.9886,-79.1894,780
CTA6,45.0064,-79.4133,755
CWB2,45.0592,-79.4,973
CPM7,44.1361,-79.6289,780
CPC4,43.8333,-79.7008,936
CNC3,43.7597,-79.8739,815
CYFD,43.1325,-80.3414,740
CDU7,44.5714,-79.2239,404
CNL3,44.6394,-75.7503,700
CBM3,46.3383,-83.7111,1100
CPD4,43.75,-81.2333,601
CZBA,43.4414,-79.8503,1050
CPE4,43.4428,-80.2322,480
CVL3,44.4089,-76.8053,525
CCE6,44.3258,-76.7925,950
CMB5,43.4317,-80.0253,520
CTN7,44.0028,-78.3619,837
CNX3,49.75,-84.0333,439
CPN7,45.1417,-76.1336,450
CNR6,45.1039,-76.1233,1344
CYAC,51.7272,-91.8244,627
CCG5,42.9511,-79.825,620
CAF2,42.9603,-79.7883,885
CES5,43.2922,-81.4656,824
CYCE,43.2858,-81.5064,1470
CYLD,47.8203,-83.3469,593
CPG8,42.4036,-82.1933,645
CYCK,42.3061,-82.0817,500
CPF4,45.5953,-76.8342,343
CNB4,43.9772,-78.2,862
CYCN,49.1067,-81.0153,600
CPP2,44.4997,-80.2033,592
CCW2,44.5097,-80.2294,733
CWD2,44.5294,-80.3542,730
CNY3,44.4494,-80.1592,1545
CMB8,45.3742,-77.7231,1658
CCN4,44.0325,-80.4856,704
CKF8,44.1328,-79.725,850
CTH8,44.2144,-79.7767,750
CCT2,44.2389,-79.6389,230
CPS6,45.0311,-74.7178,185
CNC2,45.0275,-74.6797,175
CYCC,45.0928,-74.5678,635
CRB2,42.14,-82.6528,1355
CCR9,44.3467,-80.1342,1060
CRE3,43.065,-80.7,1312
CKF9,50.7175,-90.6836,490
CPH2,46.1167,-77.5333,1092
CYVZ,52.6558,-94.0614,800
CDH6,42.8847,-80.4061,1200
CKV3,49.7833,-92.8333,1354
CYHD,49.8314,-92.7436,1700
CTF4,44.1731,-80.3103,680
CDU2,43.2456,-80.0183,870
CDG3,43.8364,-81.6067,586
CPA9,42.9136,-79.6286,230
CPF3,45.4269,-76.0678,900
CDU5,44.4547,-78.6303,1125
CPD3,44.1792,-80.8294,711
CDT7,42.6592,-81.5125,1100
CNF8,45.3133,-78.975,800
CYXR,47.695,-79.8489,757
CEL3,44.6611,-80.9442,718
CNV8,44.4389,-79.9653,1086
CYEL,46.3517,-82.5611,1150
CPG4,43.5919,-80.5122,1250
CNT6,43.5847,-80.6031,1240
CDF5,43.6325,-80.3564,1150
CNA4,45.55,-79.35,700
CNS3,47.8231,-79.8803,679
CEB8,42.1867,-82.7822,630
CNE9,42.0958,-82.8794,620
CPD2,43.7447,-81.1772,1170
CPB2,43.7217,-80.3756,1411
CPY9,43.7286,-80.2831,1380
CPG7,43.735,-80.4472,1450
CVF2,43.7231,-80.2892,1380
CFC8,43.3714,-79.9319,813
CFL4,44.265,-80.5278,1462
CPH9,43.8881,-80.9953,1250
CYFA,52.2036,-81.6958,47
CPG3,42.9211,-78.9558,625
CYAG,48.6544,-93.4406,1123
CYFH,51.5619,-87.9078,899
CYER,56.0189,-87.6761,52
CFR5,46.0933,-80.6042,711
CGN4,44.3469,-76.1744,297
CNN8,44.4019,-76.2442,395
CNZ6,43.6444,-79.9344,878
CPJ4,49.7239,-86.9569,1101
CYGQ,49.7786,-86.9386,1143
CGF6,44.2194,-79.5417,738
CYGD,43.7678,-81.7108,709
CYZE,45.8842,-82.5683,623
CPL4,43.2869,-81.7142,642
CGV5,43.86,-80.2886,1580
CGV6,43.8747,-80.2867,1550
CGV2,43.9761,-80.3878,1602
CGV3,43.9625,-80.3542,1575
CNP8,44.1342,-79.0125,975
CNZ8,43.1589,-79.6,631
CNC4,43.5636,-80.1958,1100
CPA6,42.9583,-80.0433,730
CNF2,45.0381,-78.5303,1050
CND4,45.1108,-78.64,1066
CPK3,43.2619,-79.8547,403
CPJ3,43.2661,-79.9289,265
CWD3,43.3242,-79.9358,794
CYHM,43.1736,-79.935,780
CNZ7,44.1408,-81.0292,935
CYHS,44.1581,-81.0633,940
CGL2,42.0594,-82.8408,610
CSW6,44.3461,-77.9278,780
CPG5,45.5828,-74.5489,200
CNV4,45.6167,-74.65,167
CYHF,49.7139,-83.6869,826
CNA2,42.5544,-81.8031,710
CLA4,44.0894,-79.495,855
CYHN,49.1931,-84.7594,1101
CPC9,45.3403,-79.2064,1090
CZUC,49.4297,-91.7178,1500
CNR2,43.2325,-80.6947,1435
COS2,42.6764,-81.4511,1010
CNE4,48.7414,-80.7933,755
CNP7,44.8419,-75.3122,1008
CKG8,48.4183,-89.6019,246
