,lat,lon,alt
CYKO,60.8186,-78.1486,76
CYTF,48.5086,-71.6414,449
CYEY,48.565,-78.2492,1069
CYLA,59.2967,-69.5997,121
CYBG,48.3306,-70.9964,522
CSL9,49.1844,-68.3625,250
CSN9,49.1989,-68.2853,76
CYBC,49.1325,-68.2044,71
CTD4,47.4433,-70.5164,66
CSV3,46.3644,-72.3956,31
CYVB,48.0711,-65.4603,123
CZBM,45.2908,-72.7419,374
CRG3,45.4778,-73.3014,340
CTF3,48.3114,-67.2514,977
CYML,47.5975,-70.2239,39
CYHR,50.4689,-59.6367,1270
CSE2,49.8878,-74.4003,1270
CYMT,49.7719,-74.5281,1250
CSB4,49.9044,-74.3839,198
CCS7,48.4258,-71.0478,543
CYRC,48.5208,-71.0506,43
CSU2,53.8058,-78.9169,860
CCP3,46.6611,-75.245,425
CPH4,48.9308,-72.205,373
CYDO,48.7786,-72.375,368
CSC3,45.8436,-72.3975,88
CTG3,48.3833,-64.5644,24
CZEM,52.2264,-78.5225,751
CEL8,52.7186,-76.0803,180
CSN7,45.2856,-73.0078,2009
CSD5,52.8061,-67.1022,1550
CTU2,54.5539,-71.1733,293
CYFE,48.7461,-69.0972,112
CYGP,48.775,-64.4817,293
CTR4,45.3908,-72.7661,93
CTH5,50.4975,-59.4814,125
CYGV,50.2819,-63.6111,110
CTA3,47.3894,-70.3844,35
CYGR,47.425,-61.7781,86
CYPH,58.4719,-78.0769,49
CSH2,47.0722,-70.5333,127
CYIK,62.4172,-77.9253,100
CJO2,46.0072,-73.3828,225
CSG3,46.0447,-73.5017,1350
CSJ2,47.5947,-74.1336,217
CYLU,58.7114,-65.9928,517
CYKG,61.5886,-71.9294,406
CYAS,60.0272,-69.9992,1902
CTP9,61.6622,-73.3214,32
CTK6,50.1958,-61.2658,131
CYVP,58.095,-68.4222,40
CYGW,55.2819,-77.7653,640
CYGL,53.6253,-77.7042,775
CYAD,53.5717,-76.1964,1005
CYAH,53.7547,-73.6753,825
CYFJ,46.4092,-74.78,93
CTT5,50.2597,-60.6739,1048
CSR8,48.9167,-79.1792,102
CTU5,50.8308,-58.9756,548
CYLQ,47.4097,-72.7889,174
CSA2,45.7911,-73.6381,1500
CSC5,46.4072,-70.5014,427
CSU7,46.6167,-72.6258,434
CSL3,46.6217,-72.6303,802
CDE2,46.525,-75.3853,221
