,lat,lon,alt
CYXQ,62.4103,-140.8667,2131
CEK2,61.4844,-135.7675,2400
CYDB,61.3706,-139.0339,2645
CFA4,60.1742,-134.6847,2161
CEX4,62.1108,-136.1678,1770
CEZ2,64.9036,-138.2675,3110
CYDA,64.0422,-139.1178,1215
CZFA,62.2069,-133.3672,2350
CFT3,61.6914,-130.7672,3094
CFS3,62.7683,-137.3833,1560
CYHT,60.7894,-137.5344,2150
CFT5,61.5239,-128.2669,2831
CFP6,60.1292,-124.0347,1356
CFC4,63.1761,-130.2003,3810
CYMA,63.6167,-135.8667,1653
CFP4,63.605,-137.5511,1500
CML7,62.5939,-136.8672,1539
CMN4,62.6047,-137.2169,2969
CFS4,65.6744,-138.1014,1640
CYOC,67.57,-139.8339,816
CFQ6,62.8375,-136.5178,1870
CFY5,60.1031,-130.9333,3250
CYDM,61.9706,-132.4172,2359
CFQ5,61.0289,-138.4006,2570
CYZW,60.1731,-132.7342,2313
CFS7,62.6192,-131.2669,2913
CYQH,60.1164,-128.8172,2255
CFP8,60.8081,-135.1675,2200
CYXY,60.7094,-135.0667,2317
CAJ2,66.4922,-136.5672,2365
CYKD,68.2233,-135.0006,21
CYVL,67.0211,-126.1178,899
CYWJ,65.2111,-123.4336,703
CDK2,64.5114,-110.2839,1416
CYOA,64.6989,-110.6014,1536
CBC2,66.0375,-124.7014,673
CYGH,66.2406,-128.6347,267
CYJF,60.2356,-123.4669,708
CZFM,67.4069,-134.8508,115
CYJP,61.3192,-117.6006,525
CYFR,61.1808,-113.6839,527
CFS2,61.8383,-121.3175,500
CFD8,61.8367,-121.3175,480
CET4,61.8667,-121.3514,405
CYFS,61.7603,-121.2336,556
CEC5,60.0031,-111.9008,665
CYSM,60.0203,-111.9511,673
CFB2,62.7861,-115.9344,520
CGK2,63.4353,-109.1344,1429
CYRA,64.1161,-117.3008,724
CFF4,66.7031,-119.7167,551
CET5,60.7844,-115.8175,550
CYHY,60.8397,-115.7681,541
CYEV,68.3039,-133.4681,222
CET9,61.5225,-120.6175,457
CJL8,60.2919,-102.5,1143
CYLK,62.4183,-110.6681,586
CBD6,61.0297,-123.3836,598
CYVQ,65.2814,-126.7847,237
CKV4,60.3156,-103.1181,1202
CYPC,69.3606,-124.0675,15
CBH4,61.5647,-124.8014,2950
CRE2,62.7667,-116.0833,587
CYSY,71.9936,-125.2339,283
CEU9,60.4236,-121.2669,1622
CSK6,63.5936,-110.9006,1524
CEV9,63.4333,-116.1833,700
CFA7,62.5972,-111.5339,617
CFW5,60.3942,-111.3347,875
CYUB,69.4333,-133.0175,14
CZFN,64.9097,-125.5669,329
CTM7,64.0728,-111.1511,1382
CBX5,61.9567,-128.2,3651
CYHI,70.7628,-117.8006,118
CYWE,64.1908,-114.0675,1208
CEM3,63.1317,-117.2344,882
CYWY,63.2097,-123.4336,491
CYZF,62.4631,-114.4339,675
CYLT,82.5178,-62.2806,100
CYAB,73.0064,-85.0472,72
CRW4,74.0681,-93.7847,21
CYEK,61.0939,-94.0717,34
CYBK,64.2989,-96.0778,61
CYCB,69.1081,-105.1336,102
CYTE,64.2303,-76.525,158
CYCS,63.3472,-90.7311,32
CYCY,70.4858,-68.5169,87
CYZS,64.1933,-83.3594,204
CYEU,79.9944,-85.8119,272
CGR3,65.9286,-107.4511,1150
CYHK,68.6356,-95.8503,154
CGS2,65.5519,-106.4333,972
CYGZ,76.4258,-82.9081,135
CYUX,68.7758,-81.2425,30
CHC5,66.6517,-91.5442,780
CHB3,68.1611,-106.6014,155
CYGT,69.3647,-81.8164,173
CYFB,63.7567,-68.5561,110
CYLC,62.8481,-69.8772,169
CYBB,68.5358,-89.8053,51
CYCO,67.8167,-115.1342,74
CMR2,71.3236,-79.3539,589
CMB2,65.025,-96.0711,475
CYUT,66.5206,-86.2247,75
CYXP,66.145,-65.7136,79
CYIO,72.6894,-77.9689,202
CYVM,67.5467,-64.0317,18
CYRT,62.8106,-92.1147,106
CYRB,74.7169,-94.9694,222
CYSK,56.5369,-79.25,110
CYYH,69.5467,-93.5769,90
CJQ6,81.4094,-76.8817,50
CYXN,62.24,-92.5981,40
